x,y
209252.02258002196,445134.6674084907
209236.2846113329,445119.2204840087
209236.22392826914,445142.9809426792
209245.23640617038,445151.82852373464
209254.2545332062,445160.67257714336
209263.2733937141,445169.5217340039
209272.2943559301,445178.3731274577
209295.0649826018,445176.90043712116
209286.4577897046,445168.45461556263
209277.85046965748,445160.00696232094
209269.24053777548,445151.5619890739
209260.63177408912,445143.11307998275
209243.90033235893,445126.69488362
209252.5172310909,445090.69417876477
209306.7246719378,445132.2804147917
209306.20765672065,445155.58494084916
209314.6355508878,445140.04712894745
209322.5505495884,445147.8070581926
209256.92590970892,445107.1729510088
209265.2923948367,445115.3945971695
209273.0891976774,445123.0572033569
209280.8749712752,445130.7086820415
209288.65527532646,445138.3510967974
209296.42701606068,445145.9893821145
209266.51640459945,445092.8406565596
209274.5748240943,445100.74792977254
209282.63445295347,445108.6506541474
209290.68915995205,445116.55053165735
209298.74018865038,445124.45018156
209286.07347427102,445079.64570820925
209329.15590359384,445098.25383240567
209319.2310220119,445088.51940060983
209280.90820306446,445050.88989709114
209309.0537004398,445078.53419755265
209338.8717449159,445107.78382953
209347.57872201208,445116.32638523035
209335.38217086229,445128.18756463326
209327.7510830699,445120.6935211376
209320.11804904643,445113.206912916
209290.16264229704,445059.99994913506
209299.31533849065,445068.9801888813
209311.15796836826,445104.41740091256
209352.5375445218,445088.97493350843
209323.72888582398,445036.8912322119
209334.055063289,445047.0247726621
209343.66997652774,445056.45793100586
209359.2107614346,445071.7013438336
209368.995630712,445081.2996972305
209301.1968665206,445038.6106038846
209310.89825097474,445048.12654479593
209320.40828381712,445057.45685022965
209314.5201668424,445027.86005535995
209351.44211752224,445064.08019231807
209341.5486422032,445078.19400770805
209330.561742375,445067.4155772401
209345.81161389916,445026.3352861968
209362.35365033083,445042.5590727231
209369.9917683562,445050.05319725006
209389.07117644072,445044.9572919238
209369.57467446,445025.805471846
209359.72169088636,445016.16329942265
209392.62311466088,445072.2568270274
209377.6103527687,445057.52923172707
209378.71904980185,445034.82382605347
209385.21382812917,445064.9913630858
209349.435506608,445006.06984637777
209354.70608973407,445035.05654448835
209326.69683163136,445007.4582858092
209399.1084074252,445054.80322566186
209335.67966634408,445016.3952641575
209360.71486069812,444984.9150188018
209388.96438603452,445012.6283123472
209412.38961167738,445035.60531914124
209400.46893536547,445023.9115467022
209369.38984573082,444993.4251598877
209378.6601388204,445002.5196380309
209369.057887461,444969.277211179
209377.24074160267,444977.30667658243
209385.42317550475,444985.3343376266
209393.60771622337,444993.3624332555
209401.7934085859,445001.39151393564
209409.97646407865,445009.4207200962
209418.16071573284,445017.4490255129
209426.35030466414,445025.48480742757
209352.38238387823,444976.7528659207
209401.5486349455,444969.1007726265
209415.51165045227,444958.81044920743
209425.079767732,444968.1942969347
209436.19933751886,444979.10136750614
209447.31911576976,444990.0098376406
209383.4240869055,444927.3332570098
209391.4519600109,444935.20533279324
209399.47127959965,444943.0740898521
209407.49005803483,444950.9423210532
209393.44353309544,444960.97922105924
209385.18577884382,444952.87671886774
209441.32135182305,445007.9389757474
209433.41408617084,445000.1841265444
209425.50658502264,444992.4249758623
209417.59646890988,444984.6663509927
209409.6826933401,444976.90798576
209426.32273220317,444939.0070740905
209446.0718210546,444938.09208687843
209420.30837384236,444915.0770068777
209407.98841909194,444904.07086473267
209415.92379792893,444929.28726297483
209403.95457553977,444918.0977720002
209436.16205877668,444948.20448429836
209445.56930402695,444957.010551921
209463.6880890437,444973.95367373864
209454.73874362983,444965.5826438739
209419.4629518456,444888.7602635094
209429.21680358113,444897.50317118637
209468.63865029844,444932.8215915141
209480.32835941872,444943.295931853
209495.4063399079,444936.4393334285
209461.96005080914,444907.50838773075
209448.87016625341,444896.15594580246
209504.78916633644,444944.55184203247
209458.48428102458,444923.7259537896
209438.97459096066,444906.24366362975
209408.4035368919,444878.56421588454
209419.9581480754,444872.1894975116
209630.84451499823,445096.0792299648
209638.89015635342,445089.2194385193
209566.14341467866,445020.1099115099
209585.7187156773,445041.1713956409
209556.50936007296,445008.97603702574
209593.6193367619,445032.31971175276
209608.7416764788,445061.6782906416
209576.4884778719,445007.7000858646
209585.19392527602,445019.0661311299
209576.4640406643,445030.2302590439
209596.16435350172,445053.0400328735
209602.22801260004,445045.5511239792
209580.6991640645,445088.40797054116
209509.09739972232,445018.41257151484
209518.0095515028,445027.26607308444
209528.3340723318,445013.45615107263
209536.6533181585,445021.6199669465
209544.97356375944,445029.78162656893
209553.29092088775,445037.9420323426
209561.46855030957,445045.9537798021
209569.5033937731,445053.8519714967
209577.5559781991,445061.7417087823
209585.59468691965,445069.63050430163
209593.75708865531,445077.3542546451
209548.40350868183,445056.9796205862
209538.04984613202,445046.82041640655
209527.74040094292,445036.6144102854
209557.46394621467,445065.8708356362
209572.71998137707,445080.8400265748
209565.13949555892,445073.4005054962
209519.808323475,445084.98157037114
209529.50156661568,445094.49140413175
209549.1634438104,445113.30135549314
209561.7359184313,445102.37856015115
209551.7739654119,445092.52341955114
209541.92010815252,445082.8517713907
209532.2023575343,445073.3176613828
209522.48835294388,445063.7820496357
209512.7749375466,445054.24563544063
209493.34106513904,445035.17092111945
209501.74416043842,445067.24797471444
209482.9049820679,445048.76080478786
209510.44521190829,445075.79219947226
209539.03950824655,445103.8501580012
209501.12928303538,445122.6753033113
209519.6165845792,445140.3693450198
209522.25461009573,445119.58032609086
209512.4383576905,445109.9451138713
209532.4681082374,445129.6923954125
209480.74369229045,445078.8465626736
209490.46455811168,445088.38542493904
209509.46019439495,445130.8550010066
209456.0683442681,445078.451742548
209465.70953979852,445087.9157643414
209483.55081649276,445105.43504324305
209493.58978673723,445115.27549929783
209473.9214898374,445095.9532987974
209499.58858598254,445153.5177774165
209489.88515907727,445143.87994820764
209453.5569842024,445132.04813979456
209427.74463805286,445106.71032383846
209436.35189053701,445115.1529918442
209444.95190750607,445123.60276558873
209462.15899497832,445140.49611771735
209470.77210197813,445148.9331976468
209479.37298199238,445157.38176518044
209437.40499098235,445092.3725619446
209447.12093096692,445101.91165633296
209456.8400601555,445111.45003307745
209466.55934693213,445120.99053794966
209482.4566017282,445136.59309501713
209475.09783891658,445129.3719853854
209447.01397680803,445181.6708567393
209457.6229765586,445191.70885424316
209469.81269743695,445180.2862506592
209458.5939814663,445169.2160122058
209440.77322078886,445151.72661580466
209411.69873218887,445123.193910947
209421.40942293868,445132.725594296
209431.11981827713,445142.25531503063
209449.7991718752,445160.5857061474
209438.53686944637,445173.35818045074
209404.7116964277,445140.1630580754
209417.61495552253,445152.8266122872
209379.23668532958,445171.2096976667
209388.665,445180.45999999996
209405.41122029003,445196.8938160082
209440.54755239672,445207.6465530806
209417.32299864804,445184.75930373167
209400.58000000002,445168.33
209391.44213639956,445159.3666637783
209397.22999999995,445188.865
209409.1453103845,445176.7348073055
209382.97303958848,445151.05512808164
209425.1113897422,445192.3983963309
209413.20373090214,445204.5314047665
209420.6991987135,445211.8907023034
209432.82408893094,445199.9686544721
209407.68178447368,445231.42193541455
209397.97437670326,445221.81564083387
209390.53970334659,445214.4903726888
209364.01534475206,445212.31229158386
209381.4110244989,445229.3840725363
209389.5235621843,445237.3441416701
209354.9941916776,445203.461186876
209372.82092334537,445220.9540656341
209382.54315211633,445206.6719442442
209374.49427928933,445198.7784520106
209366.44592577906,445190.8820145844
209358.39776348558,445182.98511995934
209370.40157916612,445274.65230540204
209381.14792941845,445261.3652295974
209372.14087672016,445252.514268488
209363.5115353788,445244.05350387096
209361.33055704102,445265.7247321919
209332.62999999998,445213.76000000007
209339.9859491963,445220.9791945646
209347.34341334808,445228.1915291756
209354.69584402553,445235.4090979614
209424.073007916,445276.58869878267
209424.44300090306,445248.6671174042
209437.2067358148,445237.78944441787
209471.54159018307,445208.51117559697
209432.9326673836,445264.8330240209
209482.80501039568,445222.30998878623
209498.0370876434,445213.228694732
209447.11510054304,445229.321137365
209490.7354393196,445203.88657491416
209482.94760617288,445194.7146417392
209416.74986182744,445267.6021168082
209409.120646644,445258.2639444814
209442.17677053998,445256.9547654948
209455.54810917843,445314.04027108435
209463.11355179275,445322.5472123323
209457.66350983767,445291.99918114993
209493.06640166533,445333.480549757
209472.10433717666,445308.91860831087
209465.40907338308,445300.9384568967
209471.0794792723,445331.5013504114
209479.39911339572,445340.85331673734
209448.40820472426,445281.5294567565
209446.60820117072,445303.9753000446
209436.26093840136,445292.10330581793
209501.72368588223,445310.8330584396
209491.0884501429,445298.01715663815
209514.86720649406,445302.863337157
209505.6289160137,445291.47935628257
209496.3650324022,445280.0073381008
209487.14137885047,445268.5031726006
209477.54778120606,445256.9636487934
209482.58084045313,445287.77127768076
209474.24578763804,445277.7246204932
209465.52490804472,445266.85866114404
209523.5230249586,445313.5796046515
209491.65343703644,445239.6930096247
209512.6703450304,445266.1438147044
209532.06714322462,445290.1500151576
209532.7754820397,445267.2831315235
209541.84389839348,445278.52993705083
209523.0595852483,445278.9984989224
209525.52267653556,445258.11734368734
209518.22175213453,445248.9813765316
209510.87767604936,445239.7971680393
209503.2007739133,445230.4523355929
209557.49614006645,445298.10850842495
209550.63936530158,445289.5340672055
209500.91324214573,445251.5857001898
209540.3819669583,445300.44377013
209551.3720951148,445257.1633077305
209538.33134105342,445240.2220304587
209527.5915598315,445226.2129221311
209552.4205457295,445232.6212425379
209538.9524589428,445214.7763115876
209584.18617494643,445274.9398303524
209575.22327587428,445263.0053362907
209567.7484302746,445253.0355820105
209560.2827626679,445243.0982680653
209562.61644532098,445271.6861643106
209520.1017672791,445215.9445661611
209501.13718349024,445183.59741358995
209527.13,445161.12
209578.0437523679,445116.83254241
209513.45980670536,445195.9198148948
209544.55585349767,445169.66584640334
209564.6518375705,445152.53448873066
209585.2288161715,445134.09955042624
209524.0720336125,445187.1298342037
209534.44166900078,445178.2871760406
209554.41457328282,445161.26271309424
209509.7306067056,445175.95564236125
209518.9087417877,445168.1311303111
209575.26076590893,445143.4853963537
209549.70410949504,445141.8767170113
209557.37137600093,445135.3391445632
209567.24375359528,445126.9236954221
209542.05881709605,445148.4042841583
209534.39667145995,445154.92728524044
209595.65213857417,445240.8729158779
209573.41814684364,445210.559436489
209557.33540392717,445187.95370539924
209619.2257965663,445197.49881508714
209645.676632571,445235.9553949618
209636.4302362271,445222.54612800945
209627.19292453994,445209.0863280616
209612.5513552974,445187.7854734336
209605.68238932762,445177.79669698444
209598.74784227248,445167.70837104454
209591.72970627475,445157.6877782204
209631.66953550233,445242.19244220137
209624.00456618005,445231.27286780044
209616.51906345785,445220.6101206004
209609.09906622945,445210.05248844175
209601.75980266664,445199.58743433823
209587.44945231758,445179.20937583275
209580.17314251547,445168.3343377574
209608.55659367272,445143.17482226435
209647.2156963627,445200.68312514137
209640.23176630435,445190.3799643248
209633.93768212353,445181.0816994252
209639.2460113558,445161.2073343832
209631.85687894854,445150.07203575526
209627.67303725576,445171.81307440356
209618.27291212374,445157.9099145912
209646.9661011863,445172.80224675976
209653.52018808463,445182.71631051606
209666.70326694034,445202.57199616736
209673.27955276056,445212.48231194227
209625.93565425283,445141.145823565
209620.13458241778,445131.97572938184
209654.47907658803,445211.49168163695
209661.4684884643,445221.83728061954
209672.22269420183,445171.8272042771
209658.75141462838,445151.25075662485
